,name,Pros,Cons
56,Dominion Energy,"['""Good health insurance and benefits if you stay for three years."" (in 95 reviews)', '""good pay and not busy"" (in 67 reviews)', '""Great people to work with"" (in 56 reviews)', '""work life balance is good"" (in 33 reviews)', '""The work environment is friendly."" (in 18 reviews)']","['""bad management, very much good ol boy club"" (in 31 reviews)', '""Long hours and lack of equipment due to covid"" (in 16 reviews)', '""Supervisors are aweful."" (in 9 reviews)', '""HR and senior leaders are currently pushing for diversity."" (in 8 reviews)', '""Nepotism is still alive and well, albeit under the table."" (in 7 reviews)']"
57,Kellogg,,
58,Fluor,"['""good pay and they give yo 50 plus ours a week"" (in 188 reviews)', '""The people are great and enjoyable to work with."" (in 160 reviews)', '""Good benefits and working every other Friday is very nice."" (in 148 reviews)', '""Good salary (considering that we might be put on leave after a project ends if there\'s not another one needing our skills)"" (in 123 reviews)', '""Work life balance is good"" (in 73 reviews)']","['""poor management and buddy system"" (in 92 reviews)', '""No job security for project based employees"" (in 55 reviews)', '""industry is cyclical and layoffs are to be expected every 5"" (in 50 reviews)', '""Many of the managers don\'t even have college degrees nor any sort of emotional intelligence."" (in 29 reviews)', '""New management personnel are at times placed in positions where upper management does a poor job of guiding."" (in 25 reviews)']"
59,AECOM,"['""Some great people work here and can be excellent resources if you seek them out."" (in 502 reviews)', '""Good benefits compared to other similar size and industry companies"" (in 413 reviews)', '""The pay as a consultant is good and there are a wide variety of jobs and clients to work with."" (in 229 reviews)', '""Opportunities to link into projects around the world if you are good at networking and persistent."" (in 148 reviews)', '""Great team and bosses."" (in 144 reviews)']","['""Poor management and do not think about employees"" (in 427 reviews)', '""Salary is low for area...rent and taxes are high...with minimum wage going up need to open the coffers."" (in 272 reviews)', '""Poor upper management."" (in 140 reviews)', '""Project managers do not follow ethics when it come to the time charges and scope creeping."" (in 128 reviews)', '""No training provided for junior staff"" (in 91 reviews)']"
60,Reliance Steel & Aluminum,"['""And decent pay."" (in 8 reviews)', '""great benefits, tight"" (in 8 reviews)', '""Like many other small companies people are generally pretty friendly."" (in 6 reviews)']","['""Poor management"" (in 6 reviews)', '""Training is loosy goosy"" (in 3 reviews)']"
61,Jacobs Engineering Group,"['""Some great people at Jacobs that try hard to make the office an enjoyable place."" (in 343 reviews)', '""They offer many good benefits and are always hosting morale functions for employees and their family members."" (in 249 reviews)', '""Good SMEs to learn from and pay is good."" (in 247 reviews)', '""Good salary and they put a lot of trust in their employees to work independently and take initiative and provide solutions for the clients."" (in 176 reviews)', '""Flexibility and good work life balance"" (in 165 reviews)']","['""Poor management... they waste most of the job budget on very high salaried people in meetings where very little if anything is accomplished."" (in 236 reviews)', '""This was due to the fact that I received no training when I was hired."" (in 83 reviews)', '""Some managers don\'t have the educational backround for the positions they hold."" (in 69 reviews)', '""Upper management is disconnected from the work force .there"" (in 65 reviews)', '""Not enough PTO and no bonuses"" (in 51 reviews)']"
62,Corning,"['""Great benefits and tons of overtime"" (in 148 reviews)', '""Great for people who like to live in the countryside and prefer to avoid the long city commutes"" (in 118 reviews)', '""pay was good and I got along with almost everyone"" (in 111 reviews)', '""Culture is good."" (in 65 reviews)', '""good work life balance in a small town"" (in 54 reviews)']","['""Poor management, bunch of creepy people, very bad culcture."" (in 40 reviews)', '""Frequent layoffs mean you might be laid off every few years"" (in 20 reviews)', '""Hard to advance quickly, some poor managers."" (in 20 reviews)', '""Upper management is aware of the problematic conditions on the automation technician team, but they choose to ignore it."" (in 18 reviews)', '""Absolutely clueless leadership."" (in 18 reviews)']"
63,Farmers Insurance Exchange,,
64,Qurate Retail,"['""Cool employee discounts at all affiliated brands, high levels of transparency from directors, and very generous work from home arrangements."" (in 9 reviews)', '""Good work life balance."" (in 7 reviews)', '""Remote work and good people"" (in 7 reviews)', '""Benefits discounts to employees were great"" (in 6 reviews)', '""WAH, Very nice coworkers, fun training, lots of support"" (in 3 reviews)']","['""Low pay compared to other Call centers in the area."" (in 5 reviews)']"
65,Pacific Life,"['""Great benefits and one of the last stressful companies in America according to Business Insider."" (in 89 reviews)', '""Generally great people to work with"" (in 50 reviews)', '""Good pay and can be a fun atmosphere."" (in 39 reviews)', '""Great work / life balance"" (in 32 reviews)', '""It has a great culture depending on what team you are on"" (in 26 reviews)']","['""Bad/nonexistent management is rampant, as people who are skilled individual contributors get promoted into management with no training and no screening as to their management skills."" (in 34 reviews)', '""And you\'ll see after the smoke has cleared who is the better manager...."" (in 16 reviews)', '""Starting to act a lot like a public company with immediate layoffs at any sign of economic downturn."" (in 10 reviews)', '""They then replace you with lower salary employees."" (in 9 reviews)', '""long hours"" (in 8 reviews)']"
66,PulteGroup,"['""Great people working for a company with products that make a difference in people\'s lives."" (in 56 reviews)', '""The team building events are a great benefit and allow employees to get to know each other out of the work setting."" (in 56 reviews)', '""The culture is great and diverse."" (in 43 reviews)', '""Good pay and people in the local officers"" (in 38 reviews)', '""Company culture is great."" (in 14 reviews)']","['""The management is poor"" (in 26 reviews)', '""there is no work life balance"" (in 23 reviews)', '""Upper management seemed very disconnected from field operations."" (in 18 reviews)', '""Managers do not care about you or your family and are just concerned about their bonus\'."" (in 13 reviews)', '""Long Hours were common daily"" (in 11 reviews)']"
67,"""Fidelity National Information
","['""good work life balance"" (in 10 reviews)', '""Great environment in FIS ."" (in 4 reviews)', '""Good management"" (in 3 reviews)', '""Great culture and co"" (in 3 reviews)', '""Decent pay, decent benefits, supportive management"" (in 3 reviews)']","['""Legacy monolithic application mostly works in clear2pay FIS and salary is average."" (in 3 reviews)']"
68,"https://www.fisglobal.com/
",,
69,1QVIA Holdings,,
70,Marriott International,"['""And the benefits wouldve been great if i ever got the chance to use them."" (in 1280 reviews)', '""The people I work with are great people who really care about the guests and their fellow associates."" (in 604 reviews)', '""great culture and interesting for those that love customer service"" (in 307 reviews)', '""The staff is friendly which makes it very easy to make friends while working at the marriot."" (in 225 reviews)', '""there is some great training that you can do on your own to further your skills"" (in 197 reviews)']","['""The pay is low in hospitality given the hours that are expected and the demanding needs of hotels."" (in 744 reviews)', '""bad management and organization skills"" (in 533 reviews)', '""Long hours and you need to make sure you are committed to what you do."" (in 518 reviews)', '""Salary is low because it is not enough to pay rent"" (in 398 reviews)', '""There\'s no work life balance and the pay often no where near worth it."" (in 316 reviews)']"
71,Berry Global Group,,
72,Ball,"['""Starting pay was good with step raises of about 3% every six months for two years plus annual cost of living raise."" (in 64 reviews)', '""good benefits , a lot of overtimes"" (in 44 reviews)', '""The people on the floor are good people to work with"" (in 35 reviews)', '""Good culture and fairly competitive benefits packages"" (in 10 reviews)', '""Good salary"" (in 9 reviews)']","['""bad management"" (in 28 reviews)', '""No training or schooling for my position."" (in 11 reviews)', '""Long hours, hard to get promoted in any department if you do not know senior leaders or if you are a woman"" (in 9 reviews)', '""Poor leadership"" (in 9 reviews)', '""Rotating shifts are hard on family"" (in 7 reviews)']"
73,Group 1 Automotive,"['""Health insurance and benefits are good"" (in 26 reviews)', '""Good people to work with"" (in 14 reviews)', '""Good coworkers with high ethics and energy"" (in 12 reviews)', '""Unlimited money to make with the right resources."" (in 8 reviews)', '""Awesome work environment."" (in 6 reviews)']","['""Poor management"" (in 37 reviews)', '""Long hours but rewarded for it"" (in 31 reviews)', '""Pay is low."" (in 25 reviews)', '""There were some shaky times with the Sales Managers and Assistant Sales Managers that were brought in while I worked there."" (in 18 reviews)', '""No training."" (in 14 reviews)']"
74,Leidos Holdings,"['""Good benefits and interesting with"" (in 308 reviews)', '""The people are great and knowledgeable"" (in 215 reviews)', '""Leidos has good benefits and depending upon the contract good pay... but their timecards are a joke."" (in 205 reviews)', '""Work/life balance can be really good."" (in 133 reviews)', '""Salary is good"" (in 80 reviews)']","['""Poor management (in Australia)"" (in 149 reviews)', '""Upper management do not care about you."" (in 50 reviews)', '""Senior leadership hires its friends and family to the detriment of the company and its goals."" (in 46 reviews)', '""No training budgets!"" (in 39 reviews)', '""No bonus or company event"" (in 35 reviews)']"
75,Wayfair,"['""There are also some really great people that you\'ll meet and be able to work with."" (in 397 reviews)', '""Good Benefits and all you can eat snacks and sodas"" (in 290 reviews)', '""Great culture and lots of people right out of college to make the transition into a new job easy."" (in 285 reviews)', '""Good work life balance and lot of snacks"" (in 216 reviews)', '""I am on the promotions team and oh boy I have the best manager and a great team to learn from."" (in 97 reviews)']","['""They pay is low and they set the bar so high you would never reach it."" (in 280 reviews)', '""Poor Management with responsibilities constantly changing."" (in 235 reviews)', '""Managers don\'t have experience and there\'s no guidance and direction for your job."" (in 195 reviews)', '""The salaries are low compared to similar jobs nationwide and very low when compared to Boston and other areas in Massachusetts."" (in 157 reviews)', '""senior leadership in the design org was really kind but misguided"" (in 117 reviews)']"
76,Consolidated Edison,"['""Good benefits and on par salary"" (in 123 reviews)', '""work and pay is good"" (in 87 reviews)', '""Great people to work with and diverse projects to work on"" (in 68 reviews)', '""Good work life balance."" (in 40 reviews)', '""Good job security"" (in 36 reviews)']","['""some managers have no clue how to lead a team and it leaves the employees feeling frustrated."" (in 26 reviews)', '""Management knows absolutely nothing about electricity"" (in 25 reviews)', '""The culture is \'sometimes\' frustrating because there is a rift between the old culture which is satisfies with the status quo and the newer employees who are willing to implement positive change."" (in 22 reviews)', '""Too much politics and nepotism is rampant."" (in 16 reviews)', '""What appears to have been shady tactics, mistruths and flat out dishonesty during the rollout of “Total Rewards” has left a lingering of mistrust which has never really been dealt with or acknowledged by upper management."" (in 14 reviews)']"
77,Ameriprise Financial,"['""benefits are good and they paid ok"" (in 188 reviews)', '""Great people and low"" (in 143 reviews)', '""A diverse group of businesses; good work/life balance; growing into new markets"" (in 141 reviews)', '""small company means you get access to alot of things management will let you grow in any area you want to good culture"" (in 101 reviews)', '""Good Pay based upon pay bands"" (in 66 reviews)']","['""Poor management and lots of restructuring"" (in 99 reviews)', '""Senior leadership can sometimes be detached from the situations their staff encounter"" (in 54 reviews)', '""Some managers don\'t have the basic knowledge of what their employees do to be able to give relevant performance reviews."" (in 38 reviews)', '""long hours and tons of work"" (in 31 reviews)', '""Low Compensation relative to similar positions"" (in 26 reviews)']"
