,name,sim_company_1,sim_company_2,sim_company_3,sim_company_4
324,PVH,Nike,Bank of New York Mellon,Automatic Data Processing,AECOM
325,Paccar,3M,A-Mark Precious Metals,AECOM,AGCO
326,Parker-Hannifin,Jabil,Applied Materials,3M,AGCO
327,PayPal Holdings,American Express,Bank of America,NCR,Ameriprise Financial
328,PepsiCo,Applied Materials,3M,AGCO,Amgen
329,Performance Food Group,3M,A-Mark Precious Metals,AECOM,AGCO
330,Peter Kiewit Sons’,Beacon Roofing Supply,American Airlines Group,AECOM,Ameren
331,Pfizer,AbbVie,Amgen,AmerisourceBergen,Baxter International
332,Phillips 66,Applied Materials,3M,AGCO,Amgen
333,Pioneer Natural Resources,Ameren,Baker Hughes,Academy Sports and Outdoors,Automatic Data Processing
334,Principal Financial,Bank of New York Mellon,JPMorgan Chase,Assurant,Bank of America
335,Principal Financial,Bank of New York Mellon,JPMorgan Chase,Assurant,Bank of America
336,Procter & Gamble,Johnson & Johnson,Bath & Body Works,3M,Air Products & Chemicals
337,Progressive,Advance Auto Parts,Ally Financial,Auto-Owners Insurance,Allstate
338,Prudential Financial,Ameriprise Financial,American Express,AIG,Assurant
339,Prudential Financial,Ameriprise Financial,American Express,AIG,Assurant
340,Public Service Enterprise Group,Ameren,AT&T,Baker Hughes,Bank of America
341,Publix Super Markets,3M,AECOM,AGCO,AIG
342,PulteGroup,Avis Budget Group,Beacon Roofing Supply,Apollo Global Management,Advance Auto Parts
343,Qualcomm,AT&T,Arrow Electronics,Avery Dennison,AltriaGroup
344,Quest Diagnostics,Amgen,AbbVie,Baxter International,AmerisourceBergen
345,Qurate Retail,3M,A-Mark Precious Metals,AECOM,AGCO
346,Raymond James Financial,Assurant,Bank of America,Ally Financial,American Express
347,Raytheon Technologies,Applied Materials,AT&T,Arrow Electronics,Amgen
348,Raytheon Technologies,Applied Materials,AT&T,Arrow Electronics,Amgen
349,Regeneron Pharmaceuticals,AmerisourceBergen,AbbVie,Amgen,Baxter International
350,Regions Financial,Ally Financial,Bank of America,Allstate,Bank of New York Mellon
351,Reinsurance Group of,AIG,Auto-Owners Insurance,American Family Insurance Group,Allstate
352,Reliance Steel & Aluminum,3M,A-Mark Precious Metals,AECOM,AGCO
353,Republic Services,Old Republic International,AT&T,Automatic Data Processing,AECOM
354,Rite Aid,Advance Auto Parts,Aramark,AutoNation,AutoZone
355,Robert Half International,Automatic Data Processing,Arthur J. Gallagher,Adobe,American Express
